s,C,C,C,C,C,C,C,C,kW/m2
Time,"TEMP1","TEMP2","TEMP3","TEMP4","TC1","TC2","TC3","TC4","HEAT_FLUX"
 8.5299007E+001, 1.2607841E+002, 5.1347197E+001, 2.5746262E+001, 2.5994814E+001, 1.5722055E+002, 4.6196168E+001, 2.4576165E+001, 2.4361731E+001, 6.9044860E-003
 8.6272296E+001, 1.4304180E+002, 5.9811545E+001, 2.6312886E+001, 2.5713681E+001, 1.6593610E+002, 4.8093897E+001, 2.4775493E+001, 2.4561277E+001, 7.2064790E-003
 8.7235576E+001, 2.3304748E+002, 5.2195336E+001, 2.6645303E+001, 2.5451784E+001, 1.7199502E+002, 4.9405752E+001, 2.5008390E+001, 2.4684365E+001, 7.5390186E-003
 8.8204691E+001, 1.9647701E+002, 4.7069488E+001, 2.6590349E+001, 2.5231724E+001, 2.0662973E+002, 4.9301791E+001, 2.5220244E+001, 2.4744087E+001, 7.9107860E-003
 8.9178863E+001, 1.5380479E+002, 4.6932475E+001, 2.6693771E+001, 2.6329847E+001, 2.0262874E+002, 4.8849170E+001, 2.5397254E+001, 2.4850401E+001, 8.3199099E-003
 9.0144594E+001, 1.3758996E+002, 4.6417036E+001, 2.6881330E+001, 2.7418269E+001, 1.9197665E+002, 4.8535656E+001, 2.5567316E+001, 2.5123551E+001, 8.6506482E-003
 9.1119701E+001, 1.6042708E+002, 4.4495570E+001, 2.6377748E+001, 2.8022650E+001, 1.8408199E+002, 4.7959787E+001, 2.5702005E+001, 2.5464223E+001, 8.8363026E-003
 9.2080736E+001, 1.1922797E+002, 4.5487019E+001, 2.5040643E+001, 2.8196125E+001, 1.7631421E+002, 4.7410624E+001, 2.5685794E+001, 2.5797051E+001, 9.0325698E-003
 9.3056440E+001, 1.5460353E+002, 4.8903181E+001, 2.5022834E+001, 2.8027553E+001, 1.7302119E+002, 4.7371160E+001, 2.5567343E+001, 2.6073483E+001, 9.2320877E-003
 9.4024023E+001, 1.6155640E+002, 4.8868654E+001, 2.6517888E+001, 2.8679906E+001, 1.8303779E+002, 4.7551683E+001, 2.5559848E+001, 2.6333336E+001, 9.4617519E-003
 9.4997355E+001, 1.1985076E+002, 4.6469996E+001, 2.8406173E+001, 2.9797364E+001, 1.7346115E+002, 4.7510121E+001, 2.5863889E+001, 2.6694422E+001, 9.7908905E-003
 9.5967762E+001, 2.4423652E+002, 4.9052292E+001, 2.7628546E+001, 3.0084102E+001, 1.8518068E+002, 4.7407411E+001, 2.6145075E+001, 2.7113004E+001, 9.9879829E-003
 9.6937113E+001, 2.3646675E+002, 4.7872009E+001, 2.7044862E+001, 3.0126947E+001, 2.1700900E+002, 4.7672540E+001, 2.6353024E+001, 2.7488876E+001, 1.0043176E-002
 9.7903697E+001, 2.4979997E+002, 4.3631058E+001, 2.5323977E+001, 2.9621952E+001, 2.3040612E+002, 4.7259018E+001, 2.6294782E+001, 2.7785310E+001, 1.0129985E-002
